221452.00,3723.7484538,12206.1788315,1,05,90.3,26.75,-32.65,,58
221452.10,3723.7484254,12206.1789171,1,05,84.1,26.92,-32.65,,5
221452.20,3723.7483622,12206.1791078,1,05,78.0,27.31,-32.65,,51
221452.30,3723.7483112,12206.1792618,1,05,71.8,27.63,-32.65,,51
221452.40,3723.7482926,12206.1793179,1,05,65.6,27.74,-32.65,,54
221452.50,3723.7482909,12206.1793229,1,05,59.5,27.75,-32.65,,53
221452.60,3723.7482910,12206.1793226,1,05,53.3,27.75,-32.65,,5
221452.70,3723.7482911,12206.1793226,1,05,47.2,27.75,-32.65,,5
221452.80,3723.7482813,12206.1793555,1,05,41.0,27.82,-32.65,,5
221452.90,3723.7482615,12206.1794229,1,05,34.8,27.95,-32.65,,52
221453.00,3723.7482397,12206.1794977,1,02,28.7,28.10,-32.65,,52
221453.10,3723.7482167,12206.1795763,1,02,27.0,28.26,-32.65,,59
221453.20,3723.7481940,12206.1796517,1,02,25.3,28.41,-32.65,,56
221453.30,3723.7481838,12206.1796848,1,02,23.6,28.48,-32.65,,54
221453.40,3723.7481840,12206.1796844,1,02,21.9,28.48,-32.65,,5
221453.50,3723.7481841,12206.1796842,1,02,20.2,28.48,-32.65,,51
221453.60,3723.7481841,12206.1796841,1,02,18.5,28.48,-32.65,,5
221453.70,3723.7481841,12206.1796841,1,02,16.8,28.48,-32.65,,5
221453.80,3723.7481841,12206.1796842,1,02,15.2,28.48,-32.65,,5
221453.90,3723.7481841,12206.1796841,1,02,13.5,28.48,-32.65,,59
221454.00,3723.7481843,12206.1796837,1,00,11.8,28.48,-32.65,,59
221454.10,3723.7481845,12206.1796833,1,05,19.6,28.48,-32.65,,59
221454.20,3723.7481848,12206.1796827,1,05,27.5,28.47,-32.65,,53
221454.30,3723.7481852,12206.1796821,1,05,35.3,28.47,-32.65,,5
221454.40,3723.7481854,12206.1796817,1,05,43.2,28.47,-32.65,,5
221454.50,3723.7481855,12206.1796815,1,05,51.0,28.47,-32.65,,5
221454.60,3723.7481855,12206.1796815,1,05,58.9,28.47,-32.65,,5
221454.70,3723.7481855,12206.1796816,1,05,66.7,28.47,-32.65,,5
221454.80,3723.7481854,12206.1796818,1,05,74.6,28.47,-32.65,,5
221454.90,3723.7481850,12206.1796826,1,05,82.4,28.47,-32.65,,5
221455.00,3723.7481846,12206.1796838,1,05,90.3,28.48,-32.65,,55
221455.10,3723.7481840,12206.1796853,1,10,81.3,28.48,-32.65,,5
221455.20,3723.7481834,12206.1796869,1,10,72.3,28.48,-32.65,,5
221455.30,3723.7481829,12206.1796884,1,10,63.3,28.48,-32.65,,50
221455.40,3723.7481825,12206.1796896,1,10,54.3,28.49,-32.65,,5
221455.50,3723.7481822,12206.1796903,1,10,45.3,28.49,-32.65,,56
221455.60,3723.7481820,12206.1796908,1,10,36.2,28.49,-32.65,,59
221455.70,3723.7481818,12206.1796911,1,10,27.2,28.49,-32.65,,5
221455.80,3723.7481817,12206.1796915,1,10,18.2,28.49,-32.65,,53
