195329.00,3720.0498373,12154.0144571,1,14,0.6,25.24,-32.64,,62
195329.10,3720.0498369,12154.0144572,1,14,0.6,25.24,-32.64,,6
195329.20,3720.0498361,12154.0144573,1,14,0.6,25.23,-32.64,,66
195329.30,3720.0498355,12154.0144574,1,14,0.6,25.23,-32.64,,67
195329.40,3720.0498353,12154.0144575,1,14,0.6,25.23,-32.64,,67
195329.50,3720.0498352,12154.0144575,1,14,0.7,25.23,-32.64,,66
195329.60,3720.0498357,12154.0144574,1,14,0.7,25.23,-32.64,,61
195329.70,3720.0498362,12154.0144573,1,14,0.7,25.23,-32.64,,61
195329.80,3720.0498364,12154.0144572,1,14,0.7,25.23,-32.64,,69
195329.90,3720.0498366,12154.0144572,1,14,0.7,25.23,-32.64,,6
195330.00,3720.0498367,12154.0144571,1,14,0.7,25.23,-32.64,,69
195330.10,3720.0498368,12154.0144571,1,14,0.7,25.23,-32.64,,67
195330.20,3720.0498368,12154.0144571,1,14,0.7,25.23,-32.64,,64
195330.30,3720.0498368,12154.0144571,1,14,0.7,25.23,-32.64,,65
195330.40,3720.0498368,12154.0144571,1,14,0.7,25.23,-32.64,,62
195330.50,3720.0498367,12154.0144571,1,14,0.7,25.23,-32.64,,6
195330.60,3720.0498366,12154.0144572,1,14,0.7,25.23,-32.64,,6
195330.70,3720.0498364,12154.0144572,1,14,0.8,25.23,-32.64,,61
195330.80,3720.0498361,12154.0144573,1,14,0.8,25.23,-32.64,,6
195330.90,3720.0498358,12154.0144574,1,14,0.8,25.23,-32.64,,66
195331.00,3720.0498354,12154.0144574,1,14,0.8,25.23,-32.64,,62
195331.10,3720.0498350,12154.0144575,1,14,0.8,25.22,-32.64,,67
195331.20,3720.0498347,12154.0144576,1,14,0.8,25.22,-32.64,,61
195331.30,3720.0498344,12154.0144577,1,14,0.8,25.22,-32.64,,62
195331.40,3720.0498341,12154.0144577,1,14,0.8,25.22,-32.64,,60
195331.50,3720.0498339,12154.0144578,1,14,0.9,25.22,-32.64,,60
195331.60,3720.0498337,12154.0144578,1,14,0.9,25.22,-32.64,,6
195331.70,3720.0498336,12154.0144579,1,14,0.9,25.22,-32.64,,6
195331.80,3720.0498334,12154.0144579,1,14,0.9,25.22,-32.64,,61
195331.90,3720.0498334,12154.0144579,1,14,0.9,25.22,-32.64,,60
195332.00,3720.0498334,12154.0144579,1,14,1.0,25.22,-32.64,,62
195332.10,3720.0498334,12154.0144579,1,14,1.0,25.22,-32.64,,63
195332.20,3720.0498334,12154.0144579,1,14,1.0,25.22,-32.64,,60
195332.30,3720.0498334,12154.0144579,1,14,1.0,25.22,-32.64,,61
195332.40,3720.0498334,12154.0144579,1,14,1.0,25.22,-32.64,,66
195332.50,3720.0498334,12154.0144579,1,14,1.0,25.22,-32.64,,67
195332.60,3720.0498334,12154.0144579,1,14,1.0,25.22,-32.64,,64
195332.70,3720.0498334,12154.0144579,1,14,1.0,25.22,-32.64,,65
195332.80,3720.0498334,12154.0144579,1,14,1.0,25.22,-32.64,,6
195332.90,3720.0498334,12154.0144579,1,14,1.0,25.22,-32.64,,6
195333.00,3720.0498334,12154.0144579,1,14,1.0,25.22,-32.64,,63
195333.10,3720.0498334,12154.0144579,1,14,1.0,25.22,-32.64,,62
